Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-09-25,3107.03,3373.99,3107.03,3320.87,1284.67439576,4216668.59755,3282.28585505
2017-09-24,3199.98,3200.0,3100.0,3107.03,629.07439732,1972842.37263,3136.10342598
2017-09-23,3097.66,3295.01,3060.0,3199.98,993.53117987,3173486.11382,3194.14848584
2017-09-22,3051.68,3166.4,2960.01,3097.93,1614.80165385,4931009.38211,3053.63161497
2017-09-21,3288.79,3309.91,3020.0,3051.68,2142.94482918,6751258.58414,3150.45842161
2017-09-20,3285.69,3369.0,3217.46,3290.74,944.54484052,3131938.0257,3315.81719717
2017-09-19,3444.18,3456.96,3237.0,3289.5,1738.53831037,5786986.97657,3328.65082239
2017-09-18,3142.14,3467.0,3142.06,3444.26,2754.80172502,9274438.38526,3366.64461222
2017-09-17,3138.5,3226.99,2922.58,3141.17,1584.22231921,4874516.58773,3076.91447635
2017-09-16,3148.0,3385.08,3033.07,3138.5,2676.5933577,8528424.40325,3186.29812732
2017-09-15,2723.02,3265.36,2479.08,3148.0,7300.21012139,20941093.1024,2868.56032281
2017-09-14,3269.05,3315.27,2723.0,2723.02,4670.45036437,13844746.3455,2964.32790531
2017-09-13,3501.0,3518.41,3121.17,3273.75,3256.27746124,10694576.6316,3284.29526012
2017-09-12,3550.96,3675.0,3420.0,3501.55,1997.11791974,7122478.07622,3566.37833241
2017-09-11,3559.39,3625.0,3450.58,3550.96,960.37341073,3395774.11261,3535.88934748
2017-09-10,3628.5,3647.3,3443.01,3555.15,1012.3805552,3582688.14797,3538.87491178
2017-09-09,3648.53,3725.0,3505.0,3628.5,883.67504539,3202292.54604,3623.83498634
2017-09-08,3876.54,3914.74,3450.0,3644.85,2607.11692412,9581209.9814,3675.02120552
2017-09-07,3903.21,3922.0,3787.0,3876.84,1611.42736534,6235561.58715,3869.58898754
2017-09-06,3745.54,3953.9,3745.54,3903.21,3135.29931871,12176018.6193,3883.52670081
2017-09-05,3761.01,3814.22,3596.11,3745.54,1945.97900091,7239533.22801,3720.25249226
2017-09-04,3925.51,3928.27,3549.74,3761.02,3468.33442908,12993364.3603,3746.28359114
2017-09-03,3907.88,4024.47,3850.04,3925.54,989.65462439,3878394.78808,3918.93767027
2017-09-02,4169.99,4185.0,3812.01,3907.91,1879.41334583,7418213.45806,3947.08991214
2017-09-01,4017.4,4173.97,3928.12,4169.98,2107.53453736,8597111.54778,4079.22688591
2017-08-31,3865.43,4027.71,3863.51,4017.4,1856.31310544,7375782.136,3973.350247
2017-08-30,3858.58,3897.48,3793.75,3865.43,1582.61135867,6107003.94196,3858.81467898
2017-08-29,3669.98,3943.9,3620.0,3860.19,1910.96030298,7184387.91238,3759.5694171
2017-08-28,3658.03,3670.0,3552.0,3669.97,1214.17734181,4408220.82356,3630.62352736
2017-08-27,3671.66,3696.82,3640.26,3658.04,611.78483341,2244038.81137,3668.01968408
2017-08-26,3688.55,3696.73,3603.42,3671.66,548.23883885,1999405.11492,3646.95999853
2017-08-25,3677.67,3778.1,3615.0,3688.09,1397.25514832,5182103.16156,3708.77371094
2017-08-24,3534.48,3699.0,3515.01,3677.68,1069.99472951,3844405.50064,3592.92003466
2017-08-23,3498.84,3650.0,3436.18,3526.86,1677.16016454,5968691.38116,3558.8082208
2017-08-22,3403.0,3553.5,3050.0,3495.25,2505.7774915,8393815.42147,3349.78482724
2017-08-21,3475.15,3505.62,3371.1,3403.0,2008.98483636,6910407.61129,3439.75100569
2017-08-20,3563.79,3573.93,3474.06,3475.15,846.41075309,2976759.60781,3516.92082945
2017-08-19,3517.56,3587.83,3425.61,3565.35,1080.08434421,3778754.61116,3498.57363586
2017-08-18,3682.15,3738.23,3410.01,3517.59,2272.49439269,8182609.45251,3600.71711456
2017-08-17,3714.99,3865.12,3601.01,3682.39,2581.4098567,9672097.36687,3746.82747173
2017-08-16,3569.68,3746.99,3365.92,3726.75,2130.54646189,7648454.1974,3589.90255984
2017-08-15,3678.37,3793.28,3248.52,3566.81,4123.5439986,14477196.3917,3510.86259698
2017-08-14,3453.77,3700.0,3387.0,3678.36,2835.46073163,10214263.5403,3602.32939443
2017-08-13,3304.14,3582.22,3226.79,3453.95,2135.49442454,7333627.97997,3434.15927276
2017-08-12,3112.53,3386.93,3080.0,3304.14,1977.15517208,6422066.65552,3248.13486883
2017-08-11,2949.78,3177.08,2933.45,3112.53,1893.71781966,5724919.54238,3023.11119584
2017-08-10,2865.63,5000.0,2840.42,2948.31,1618.06001398,4750126.74862,2935.69256244
2017-08-09,2932.68,2947.75,2775.56,2867.58,1704.94284036,4875051.86003,2859.36381246
2017-08-08,2903.05,2982.69,2856.38,2934.0,2137.61594158,6246286.96605,2922.08101771
2017-08-07,2750.01,2925.65,2725.0,2902.8,1591.42123969,4532156.231,2847.86712529
2017-08-06,2762.07,2796.1,2675.22,2750.03,835.78550636,2294571.69485,2745.40737712
2017-08-05,2432.06,2850.0,2432.06,2762.06,2335.24042978,6286889.92573,2692.18100438
2017-08-04,2365.71,2444.99,2344.8,2431.11,1104.94440788,2660127.04572,2407.47591168
2017-08-03,2291.99,2375.0,2291.96,2365.71,871.97412298,2034477.92035,2333.18611956
2017-08-02,2334.04,2353.55,2247.38,2291.99,1200.35028774,2772431.22962,2309.68514603
2017-08-01,2426.98,2499.0,2235.02,2333.41,1679.59325275,3975061.96058,2366.68131053
2017-07-31,2341.93,2475.0,2314.61,2427.0,1067.02665338,2551809.65553,2391.51444572
2017-07-30,2309.0,2360.0,2208.05,2341.96,770.07015326,1772370.48444,2301.57015817
2017-07-29,2380.42,2386.44,2254.87,2312.37,1069.3972734,2478051.04896,2317.24085202
2017-07-28,2298.17,2425.0,2276.04,2380.46,1479.78811698,3508628.58715,2371.03443857
2017-07-27,2188.19,2319.7,2178.37,2297.15,1177.19506021,2628984.98689,2233.26199349
2017-07-26,2211.25,2249.96,2103.0,2185.01,1185.72642915,2562626.0475,2161.22874932
2017-07-25,2388.78,2402.0,2112.12,2214.32,2149.67089505,4794968.25035,2230.55922718
2017-07-24,2364.99,2421.77,2351.2,2387.27,1027.53204767,2449053.58904,2383.43280348
2017-07-23,2424.08,2447.0,2313.98,2364.54,906.64742378,2154575.71984,2376.42071585
2017-07-22,2299.59,2468.85,2284.17,2424.1,1010.4119858,2431441.0084,2406.3857541
2017-07-21,2470.0,2479.9,2238.63,2297.98,1950.8464287,4578370.69273,2346.86371278
2017-07-20,1969.67,2546.72,1966.93,2464.33,3666.26863224,8326337.57719,2271.06587443
2017-07-19,2006.41,2090.0,1915.0,1976.45,1940.30083326,3899175.02265,2009.57241053
2017-07-18,1942.41,2078.95,1880.0,2006.64,2301.50157573,4606097.25234,2001.34438356
2017-07-17,1656.69,1945.0,1656.39,1942.42,2092.50068158,3828496.28156,1829.62725664
2017-07-16,1730.0,1779.99,1552.24,1657.72,2086.73396193,3447514.88644,1652.11040283
2017-07-15,1947.01,1951.84,1714.14,1730.0,1622.21483015,2906898.6514,1791.9319916
2017-07-14,2059.01,2076.65,1889.26,1947.01,1457.22822238,2894473.40547,1986.28695287
2017-07-13,2101.91,2125.0,2037.77,2059.04,1006.85456787,2095183.68646,2080.91987991
2017-07-12,2028.79,2122.14,1972.0,2103.54,1527.55704368,3145087.72097,2058.90034286
2017-07-11,2063.41,2134.64,1975.0,2028.79,1780.95274803,3660714.74866,2055.48111971
2017-07-10,2221.2,2221.46,1990.28,2066.97,1822.40483355,3869539.50743,2123.31499357
2017-07-09,2250.0,2250.25,2221.19,2221.2,399.11836687,893786.341545,2239.40168065
2017-07-08,2203.23,2250.0,2170.0,2250.0,577.97311854,1281798.15045,2217.74700126
2017-07-07,2300.25,2312.31,2170.49,2203.23,1146.4795244,2562137.98607,2234.78739179
2017-07-06,2307.37,2319.04,2280.04,2297.31,728.31666411,1671747.42056,2295.35791633
2017-07-05,2294.97,2320.0,2244.59,2307.37,964.67115061,2196316.76197,2276.75178281
2017-07-04,2252.41,2324.99,2250.01,2295.06,1339.9183851,3076409.41548,2295.96776168
2017-07-03,2207.53,2274.84,2183.55,2252.42,1038.46058138,2316491.75656,2230.69782147
2017-07-02,2124.1,2228.15,2086.79,2204.98,748.03354676,1621399.12963,2167.54868369
2017-07-01,2147.11,2196.66,2075.63,2128.91,889.00209976,1907603.30325,2145.78042477
2017-06-30,2236.69,2250.0,2133.73,2140.1,1029.79783336,2274510.3299,2208.69597529
2017-06-29,2261.08,2280.48,2220.96,2235.0,877.26905308,1976641.10719,2253.17546567
2017-06-28,2274.92,2300.0,2178.11,2261.18,1478.91848149,3320643.99289,2245.31915346
2017-06-27,2170.65,2275.0,2021.33,2274.15,2092.18907839,4451087.30222,2127.47850956
2017-06-26,2251.03,2287.85,2005.44,2176.38,1808.7428055,3943842.16648,2180.43281471
2017-06-25,2308.38,2349.99,2169.02,2251.29,804.81541509,1837259.28328,2282.83311779
2017-06-24,2425.01,2444.99,2250.0,2308.38,848.63922464,2002972.32783,2360.21653216
2017-06-23,2419.36,2443.69,2399.59,2425.01,724.136749,1759000.58037,2429.10000465
2017-06-22,2367.62,2450.0,2325.0,2419.75,1218.63158957,2930614.50783,2404.8404234
2017-06-21,2444.18,2487.38,2329.0,2367.62,1498.55654803,3622993.27626,2417.65536378
2017-06-20,2329.59,2521.57,2321.33,2444.18,1920.33341156,4624888.58217,2408.37791726
2017-06-19,2251.21,2329.13,2225.01,2329.13,1246.17575811,2850116.79086,2287.09054265
2017-06-18,2364.84,2386.52,2208.28,2252.41,889.22240289,2031003.14488,2284.02156568
2017-06-17,2229.35,2393.57,2181.06,2370.0,954.77614493,2199667.05084,2303.85631493
2017-06-16,2171.3,2269.0,2066.62,2229.32,2267.55097605,5012023.55963,2210.32453628
2017-06-15,2185.77,2246.47,1837.17,2172.5,4761.66564888,9934763.98974,2086.40520404
2017-06-14,2429.37,2511.3,2090.85,2183.48,2526.07599978,5946592.12248,2354.08282371
2017-06-13,2379.68,2495.84,2361.6,2429.4,2045.17177934,4983823.30323,2436.87271337
2017-06-12,2667.5,2669.99,2210.47,2382.83,2822.8404761,7006748.16722,2482.16228531
2017-06-11,2603.09,2670.0,2561.54,2667.5,1762.48751755,4587406.59261,2602.80231601
2017-06-10,2531.46,2609.0,2520.88,2601.34,1180.19617958,3030411.16292,2567.71816021
2017-06-09,2505.0,2574.0,2487.92,2531.48,1472.72301491,3735087.79068,2536.17805444
2017-06-08,2398.71,2522.85,2340.01,2504.97,1931.01560848,4763203.66905,2466.68315271
2017-06-07,2573.21,2581.77,2321.2,2401.39,2612.30686193,6524953.8895,2497.77466215
2017-06-06,2399.99,2621.93,2378.56,2573.25,2751.28343344,6952000.43608,2526.82088351
2017-06-05,2251.16,2400.0,2250.56,2399.99,1333.63449146,3104565.21492,2327.89811212
2017-06-04,2272.83,2283.82,2203.3,2250.07,933.64004774,2098152.97823,2247.28254032
2017-06-03,2224.73,2318.35,2190.68,2272.78,1237.42155966,2795554.17149,2259.17687442
2017-06-02,2164.28,2224.73,2133.53,2224.73,1238.81931991,2693123.19592,2173.9434901
2017-06-01,2058.96,2220.0,2056.86,2164.2,2107.91924287,4546996.46873,2157.10183591
2017-05-31,1953.75,2090.0,1850.0,2057.95,2859.72745084,5686040.02633,1988.31536364
2017-05-30,2052.8,2103.0,1892.51,1953.74,2380.85704577,4842882.59053,2034.09213465
2017-05-29,1993.7,2122.9,1931.0,2052.8,1765.02096418,3596690.26431,2037.76064835
2017-05-28,1874.73,2108.13,1874.73,1993.69,1728.53602614,3471993.33435,2008.63232345
2017-05-27,2034.39,2080.0,1688.73,1874.56,3190.73661054,5931348.71162,1858.92771344
2017-05-26,2095.42,2386.97,1827.34,2039.39,3317.34680728,7130627.56793,2149.49716812
2017-05-25,2175.75,2515.77,2028.97,2105.84,3889.85431356,9133667.92357,2348.07455172
2017-05-24,2020.79,2222.48,2020.78,2175.97,2040.05688417,4325305.92756,2120.18888351
2017-05-23,1884.83,2025.0,1839.99,2020.79,1951.36509649,3857715.69602,1976.93179147
2017-05-22,1818.24,2600.0,1780.0,1877.12,4719.12058279,9142256.07854,1937.27960923
2017-05-21,1824.5,1864.56,1780.33,1818.24,1182.37759176,2153782.37005,1821.56900221
2017-05-20,1759.41,1824.5,1755.43,1823.86,1109.29978302,1985088.66938,1789.49703206
2017-05-19,1700.0,1771.55,1696.76,1760.0,1284.67061224,2237945.57981,1742.03843264
2017-05-18,1644.46,1700.0,1620.02,1699.99,1058.44158944,1757356.23131,1660.32424354
2017-05-17,1611.0,1673.19,1585.98,1643.13,1369.68563129,2266274.21728,1654.59443066
2017-05-16,1601.13,1624.04,1549.86,1611.0,1418.94845268,2260144.80206,1592.83080213
2017-05-15,1654.96,1654.99,1560.0,1603.98,1167.84538536,1867301.18007,1598.92842278
2017-05-14,1646.0,1683.67,1625.0,1654.99,697.40510788,1152732.71249,1652.888256
2017-05-13,1556.0,1647.74,1476.0,1646.0,1112.46840122,1749166.69255,1572.32932696
2017-05-12,1699.59,1704.75,1506.87,1559.75,1785.2819088,2889318.89525,1618.4104488
2017-05-11,1644.98,1742.58,1625.88,1699.59,1593.29530386,2715690.86607,1704.44917492
2017-05-10,1579.97,1649.97,1561.67,1644.98,1197.92002104,1941650.8045,1620.85178509
2017-05-09,1559.5,1648.0,1531.23,1581.91,2146.98406229,3427428.33291,1596.39207068
2017-05-08,1457.91,1559.5,1454.06,1559.5,1593.41781695,2398084.90674,1504.99440965
2017-05-07,1438.0,1458.09,1421.47,1457.94,1082.51816179,1563676.29904,1444.48042928
2017-05-06,1419.97,1445.0,1414.05,1437.99,1050.58092348,1505958.63207,1433.45324326
2017-05-05,1413.56,1495.0,1381.89,1421.51,1796.93188517,2605790.80294,1450.13332138
2017-05-04,1397.34,1514.36,1343.66,1412.28,2753.5575402,3959691.37603,1438.02746746
2017-05-03,1338.65,1400.0,1331.71,1397.33,1282.97482017,1747407.9252,1361.99705382
2017-05-02,1316.19,1368.08,1313.23,1338.66,1442.46636285,1934679.33632,1341.23012234
2017-05-01,1263.04,1334.99,1262.54,1318.26,1320.95789785,1726509.52509,1307.01328778
2017-04-30,1243.9,1267.14,1206.83,1263.05,629.35644371,780873.161552,1240.7486558
2017-04-29,1236.73,1248.0,1224.2,1243.34,762.96975379,944762.736817,1238.27023565
2017-04-28,1235.73,1259.99,1197.62,1233.38,1419.4970769,1740272.0502,1225.97790339
2017-04-27,1189.8,1244.76,1179.49,1238.12,1135.27855224,1379955.89932,1215.52186166
2017-04-26,1174.22,1211.16,1172.63,1188.69,826.31274011,984121.954393,1190.98000869
2017-04-25,1164.71,1178.99,1160.0,1174.28,713.2042566,833861.086246,1169.17570041
2017-04-24,1155.05,1165.0,1148.07,1163.82,599.73913627,693363.962528,1156.10924916
2017-04-23,1158.22,1164.0,1150.89,1155.06,511.75880259,592099.474223,1156.98933018
2017-04-22,1161.45,1164.3,1147.23,1158.39,377.04846676,436325.319519,1157.21282006
2017-04-21,1150.94,1172.44,1150.93,1163.79,644.40207767,750770.240162,1165.06489687
2017-04-20,1132.0,1161.83,1130.1,1150.94,815.20973658,934127.246951,1145.87351578
2017-04-19,1124.75,1132.0,1116.21,1132.0,648.491126,730082.670519,1125.81751893
2017-04-18,1120.2,1137.11,1119.19,1124.75,617.46478294,697705.063006,1129.95118472
2017-04-17,1115.66,1127.87,1108.2,1120.89,312.51027569,348914.100568,1116.48840921
2017-04-16,1108.23,1123.39,1106.9,1115.95,222.27163255,248084.959049,1116.13414723
2017-04-15,1110.22,1151.65,1069.38,1108.21,161.50474847,179888.506288,1113.82797095
2017-04-14,1109.16,1127.0,1094.07,1110.3,343.33363142,382739.168402,1114.77330904
2017-04-13,1142.07,1143.64,1076.3,1108.47,784.24064678,871127.842094,1110.79149706
2017-04-12,1157.57,1157.64,1140.0,1143.09,646.30277365,743247.663259,1149.99918546
2017-04-11,1141.67,1160.71,1136.0,1157.6,567.61685852,651976.547838,1148.6208312
2017-04-10,1142.73,1150.0,1135.01,1141.84,534.04384082,610687.048533,1143.51482379
2017-04-09,1118.93,1147.98,1111.01,1142.83,379.38795091,429746.761464,1132.73697921
2016-12-06,702.08,704.98,700.2,703.78,28.56852072,20081.2349089,702.914760822
2016-12-05,723.5,723.8,699.81,702.56,691.42477135,489965.776468,708.632083735
2016-12-04,721.02,725.0,718.4,723.5,246.23265106,177663.336625,721.526312047
2016-12-03,725.0,726.03,714.22,720.94,363.58220204,261758.401284,719.942834978
2016-12-02,709.6,729.73,708.93,724.92,556.47288404,402109.438679,722.603832481
2016-12-01,701.27,711.03,700.29,709.81,427.914482,302913.686009,707.883698147
2016-11-30,690.97,703.0,686.93,700.83,429.96758493,299990.055904,697.703888428
2016-11-29,694.2,697.22,687.79,689.97,450.39176506,312191.67425,693.155822262
2016-11-28,696.04,702.21,690.0,694.73,405.65311386,282497.487626,696.40162487
2016-11-27,699.82,704.0,690.58,695.96,201.92206726,141164.647434,699.104606789
2016-11-26,704.06,705.47,690.58,699.91,197.93272484,138249.223937,698.46572389
2016-11-25,705.81,705.85,695.0,704.42,279.0335723,195281.950826,699.85109396
2016-11-24,708.29,709.99,692.0,705.3,429.69967756,301672.386244,702.054020512
2016-11-23,707.5,711.21,698.24,708.24,376.16216643,265471.191245,705.73602275
2016-11-22,699.37,713.82,693.02,707.5,350.26113073,246753.571465,704.484596823
2016-11-21,690.09,704.0,686.19,699.43,311.94059217,217169.752266,696.189459524
2016-11-20,706.19,708.0,673.48,689.99,319.11905433,220422.198706,690.720894649
2016-11-19,707.67,712.0,696.7,706.19,215.8645047,152633.997269,707.082424138
2016-11-18,689.06,714.74,687.57,707.66,393.81533523,276995.863544,703.364848356
2016-11-17,687.14,703.74,680.5,689.41,551.34365265,382265.958691,693.335194581
2016-11-16,665.88,699.74,662.52,686.3,763.07978706,518962.955496,680.090030291
2016-11-15,660.03,670.0,649.98,665.92,406.03512851,269138.363209,662.845020816
2016-11-14,648.98,661.0,644.5,660.03,371.63202528,243442.527142,655.063370706
2016-11-13,650.96,651.1,634.23,648.97,257.91882001,166013.794978,643.666852118
2016-11-12,661.4,662.23,647.51,650.95,188.67710942,123359.3135,653.811762747
2016-11-11,658.32,662.23,656.34,661.39,266.8302512,176266.918,660.59570535
2016-11-10,662.5,666.0,654.72,658.48,284.98901601,187734.014338,658.741227877
2016-11-09,648.65,668.0,644.72,662.48,1153.20759348,761441.964564,660.281781762
2016-11-08,642.91,652.03,636.68,648.7,436.87853694,281695.862332,644.792175657
2016-11-07,644.34,646.91,635.38,643.34,465.22743214,298187.196371,640.949298709
2016-11-06,635.57,648.04,632.05,644.17,198.95725664,127466.885786,640.674725508
2016-11-05,637.29,639.0,625.01,635.47,217.99497272,138168.015603,633.812853018
2016-11-04,620.1,642.25,616.34,637.02,361.81110229,229211.8292,633.512426095
2016-11-03,671.0,675.0,610.0,620.9,859.3666875,553178.621946,643.704986466
2016-11-02,661.58,671.0,655.0,671.0,407.75968208,268699.642744,658.965696102
2016-11-01,639.41,673.25,639.33,661.58,488.84563746,323107.240216,660.959647497
2016-10-31,634.08,649.74,625.0,639.42,369.30603284,236705.569311,640.946933606
2016-10-30,649.0,649.01,630.0,634.07,348.26812394,223015.394408,640.355459136
2016-10-29,630.39,655.0,630.31,649.01,386.81458048,250411.121715,647.367328822
2016-10-28,633.46,637.13,630.0,630.39,379.85390491,240454.03692,633.017151625
2016-10-27,620.86,636.06,620.86,633.46,515.82695172,324594.491903,629.270127939
2016-10-26,604.23,626.12,603.96,620.76,515.37504253,316159.173951,613.454567763
2016-10-25,600.36,609.0,599.95,605.31,412.44238579,249779.972088,605.611791353
2016-10-24,599.41,603.31,597.65,599.96,310.91882727,186590.721782,600.126802935
