Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-09-12,3220.63,3339.88,3073.96,3150.22,304.50468896,976316.721347,3206.24527879
2017-09-11,3249.77,3320.0,3148.49,3220.63,275.87385314,886135.642994,3212.10449235
2017-09-10,3308.04,3320.72,3143.5,3244.8,249.18340453,805722.205889,3233.4505077
2017-09-09,3323.01,3415.39,3193.0,3310.41,231.04685783,764141.252822,3307.2999131
2017-09-08,3553.83,3590.0,3137.37,3314.26,499.67261835,1666584.16061,3335.35218743
2017-09-07,3564.38,3594.76,3465.0,3555.73,179.89138982,637003.075816,3541.04260606
2017-09-06,3427.87,3626.22,3415.01,3560.0,268.27334036,953317.512795,3553.53055773
2017-09-05,3498.95,3503.19,3302.14,3421.39,376.26397517,1285428.32233,3416.29389778
2017-09-04,3594.73,3597.73,3285.01,3497.35,508.24449712,1751134.24729,3445.45638411
2017-09-03,3615.7,3694.99,3504.08,3595.69,239.82660503,862628.328614,3596.88337541
2017-09-02,3848.63,3870.0,3469.77,3610.95,359.80534162,1307398.87366,3633.62830517
2017-09-01,3693.98,3848.67,3667.66,3848.59,341.02492615,1279557.24835,3752.09302966
2017-08-31,3573.06,3717.65,3567.61,3693.98,280.71908046,1030164.19333,3669.7334276
2017-08-30,3578.18,3614.16,3504.04,3573.66,230.8454769,823299.565122,3566.45309312
2017-08-29,3420.0,3616.58,3376.43,3584.43,264.37358123,928874.174556,3513.49091023
2017-08-28,3388.65,3424.35,3284.93,3418.79,167.6448528,563885.541521,3363.57205189
2017-08-27,3400.91,3430.0,3365.41,3395.88,120.69003181,409849.833428,3395.88802225
2017-08-26,3408.77,3424.38,3321.06,3398.16,155.07554959,524034.361495,3379.21976018
2017-08-25,3392.16,3481.95,3330.99,3408.77,228.92943813,782980.786778,3420.18393604
2017-08-24,3262.12,3418.01,3239.28,3392.04,201.05090223,667215.553762,3318.63993825
2017-08-23,3215.3,3348.3,3188.3,3261.48,227.78391158,747068.158182,3279.72310687
2017-08-22,3122.43,3254.63,2778.3,3209.77,382.30179756,1169490.51744,3059.07668995
2017-08-21,3173.18,3202.57,3065.41,3120.48,277.51990992,870982.535163,3138.45062653
2017-08-20,3255.29,3270.44,3160.86,3171.65,155.55078871,499820.86921,3213.23262553
2017-08-19,3209.71,3286.61,3087.47,3261.5,224.53719456,716330.242279,3190.25203678
2017-08-18,3350.51,3401.41,3102.03,3210.23,276.08469515,904778.061099,3277.1757254
2017-08-17,3412.72,3498.56,3275.43,3353.94,341.62521997,1164817.7091,3409.63617732
2017-08-16,3267.57,3426.96,3072.55,3421.49,268.60012805,881636.963583,3282.34007178
2017-08-15,3356.1,3443.95,2939.74,3257.77,501.30591338,1598941.93071,3189.55330077
2017-08-14,3140.2,3359.21,3085.0,3356.1,386.43306242,1266234.63754,3276.72438174
2017-08-13,2999.89,3251.86,2961.74,3149.12,445.69122018,1397133.50977,3134.75663534
